REF_AREA,Reference area,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,54.378
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,54.27619048
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1985,64.64564565
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1986,62.76966292
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1987,62.9525066
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1988,63.06203474
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1989,62.33027523
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1990,62.87931034
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1991,64.95867769
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,64.9500998
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,53.57272727
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,43.78606615
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,43.67588933
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,44.2923606
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,44.69173532
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,44.78025519
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,44.779279
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,44.57012213
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,44.81303133
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,43.56603135
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,44.32589295
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,46.81848556
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,55.43441227
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,54.6557377
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,54.19047619
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,52.50187829
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,52.73043478
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,44.03776325
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,53.96357329
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,53.05463576
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,53.29986101
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,53.816
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,54.24668228
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,53.59165425
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,53.8372093
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,52.60293091
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,51.54102735
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,53.60158311
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,55.175
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,62.09923664
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,61.51291513
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,61.4028777
AUS,Australia,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,60.44982699
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,53.49115314
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,51.96917605
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,50.50424363
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1977,45.22606089
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1978,44.41423182
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1979,43.73837981
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1980,43.43633277
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1981,44.96276113
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1982,47.25336348
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,42.18813638
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1987,48.23924143
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1988,48.34822112
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1989,47.87092179
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1990,47.02865755
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1991,47.1105536
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,48.02381048
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,47.96444719
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,47.60518396
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,47.65870257
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,47.0993005
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1997,46.30237307
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,45.12197633
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,44.16132174
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,42.88537421
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1975,46.47027855
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1976,45.64743645
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1975,54.59068931
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1976,53.6248366
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1977,53.12972572
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1978,52.17553007
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1979,51.38065523
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1980,51.02669531
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1981,52.82116944
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1982,55.50913075
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,49.61810591
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,42.13037241
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,41.10449571
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,41.187984
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,40.41043554
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,40.52933673
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,40.95257753
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,41.47878727
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,40.56721
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,40.66832634
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,40.63678172
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,41.2635146
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,39.80088339
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,39.54412604
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,39.43007538
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,39.44408566
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,39.12751706
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,38.51807514
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,38.15239314
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,37.59920774
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,42.26404336
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,44.65174129
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1983,48.17253559
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1984,48.16909398
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1985,48.08819007
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1986,48.49628471
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,50.14458178
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,42.59626419
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,48.7615193
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,48.38625472
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,48.29536005
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,47.55145949
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,47.90351456
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,47.96011482
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,49.42706169
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,48.25947074
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,48.63662914
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,48.31881576
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,49.35732479
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,47.25552613
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,45.33340041
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,45.70621469
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,45.28344959
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,42.69371585
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,41.98523532
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,41.64103875
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,41.03727022
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,46.12865728
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,48.73468574
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1983,56.59197787
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1984,56.58668508
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1985,56.49143456
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1986,56.97122839
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1987,56.66857078
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1988,56.79782035
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1989,56.23573549
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1990,55.24648466
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1991,55.34142148
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,56.41599171
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,56.34537861
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,55.92367863
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,55.98696559
BEL,Belgium,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,55.49781196
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1972,46.49122807
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1991,34.96973773
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,41.69054441
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1967,46.57534247
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1968,45.95744681
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1969,49.01960784
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1970,48.72727273
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1971,50.33333333
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1972,49.07407407
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1991,38.60430586
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1977,49.05660377
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1978,47.36
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1979,45.73529412
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1980,43.31550802
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1981,43.36609337
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1982,42.11123723
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1983,38.91779396
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1984,39.26754832
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1985,39.28571429
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1986,37.9472693
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1987,37.90322581
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1988,38.07890223
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1989,38.92561983
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1990,38.43167702
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1965,47.93814433
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1966,46.34146341
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,41.76511466
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,43.01598332
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,43.33333333
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1997,43
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,42.2626788
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,42.1656051
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,41.40285537
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,40.3823178
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,40.23529412
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,40.03466205
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,39.38718663
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,40.26475455
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,40
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,39.63599596
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,41.43920596
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,41.91871456
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,42.83096656
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,43.86363636
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,44.0229378
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,43.93414211
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,43.99323181
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,44.42595674
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,44.22999598
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,45.48
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,51.4
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,51.23076923
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,48.87298748
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,48.93244662
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,49.05850706
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,49.61190168
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1973,50.28409091
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1974,51.75
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1975,51.83585313
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1976,51.71102662
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,36.46444879
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1992,39.56121727
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1993,37.28379244
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1994,38.01391524
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1995,38.7359199
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1996,38.84146341
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1997,38.99637243
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1998,38.78281623
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1999,38.51076207
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2000,37.64108352
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2001,36.96008748
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2002,36.32501328
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2003,36.01871102
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2004,35.87011669
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2005,35.92519685
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2006,35.44776119
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2007,35.10971787
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2008,35.89853826
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2009,36.72877847
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2010,37.91565288
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2011,38.354531
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2012,38.62229102
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2013,38.38001514
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2014,38.647343
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2015,38.69565217
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2016,38.9932648
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2017,39.71358715
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2018,43.85665529
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2019,44.2671984
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2020,42.98300818
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2021,43.00215318
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2022,43.05104751
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,2023,43.12622997
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1973,47.70889488
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1974,49.0521327
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1975,49.0797546
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1976,48.92086331
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1977,46.42857143
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1978,44.84848485
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1979,43.31476323
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1980,41.01265823
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1981,39.88700565
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1982,37.51263903
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1983,34.03093722
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1984,33.97887324
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1985,33.81725021
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1986,33.55537052
CAN,Canada,Minimum relative to average wages of full-time workers,Percentage of average wage of full-time employees,1987,34.14043584
